Year,Neural Network,Data Science,Expert Systems,Machine Learning,Artificial Intelligence
1960,1,1,0,1,1
1961,1,0,0,2,2
1962,3,1,0,5,1
1963,1,1,0,5,1
1964,0,2,0,3,1
1965,3,6,0,2,0
1966,16,8,0,5,4
1967,3,21,0,6,0
1968,3,8,0,4,2
1969,2,9,1,12,5
1970,2,13,3,9,5
1971,8,13,3,7,8
1972,4,10,1,5,2
1973,8,18,1,5,9
1974,8,20,5,6,12
1975,12,19,1,3,11
1976,9,9,3,4,14
1977,4,19,3,2,12
1978,9,23,1,3,16
1979,12,17,1,2,24
1980,16,19,1,2,18
1981,5,18,8,2,24
1982,10,23,18,2,28
1983,11,19,50,1,35
1984,14,21,123,5,56
1985,18,14,276,5,95
1986,42,23,365,9,80
1987,88,19,420,9,121
1988,158,15,570,13,112
1989,559,26,898,21,99
1990,1499,64,1216,32,140
1991,2402,350,1960,103,368
1992,2752,557,1832,147,423
1993,3743,601,1531,165,351
1994,3989,713,1607,190,454
1995,4454,720,1446,235,405
1996,5048,4526,1717,244,364
1997,6171,14772,1815,284,377
1998,6814,20166,1756,307,373
1999,5305,20348,1538,310,333
2000,6912,21913,1697,366,321
2001,6753,23130,1520,365,357
2002,7362,26878,1581,492,360
2003,8048,19942,1805,672,409
2004,8736,2869,2008,908,415
2005,10161,2917,2200,1165,463
2006,11878,3194,2460,1381,534
2007,12672,3727,2864,1043,479
2008,13579,4298,3254,1362,509
2009,15104,5014,3743,1592,612
2010,12713,5819,3461,1884,622
2011,13376,6495,4002,2214,673
2012,14790,7319,4282,2369,735
2013,15689,7769,4646,2940,784
2014,17265,8809,4944,3537,910
2015,20674,11820,6305,4847,1182
2016,24765,13756,6923,6147,1432
2017,30183,14611,7248,7994,1831
2018,28986,14248,6213,11958,2807
